device_on_flag,energy,frequency,id,power_current,power_max,reset_counter,time_on,time_total
1,192419,868194000,798a,1.3,1.4,1,162332,162332
1,550887825,868194000,79fd,0.2,1762.6,1,3633123,4755863
1,550887829,868194000,79fd,0.3,1762.6,1,3633143,4755883
0,166898490,868194000,7b71,0.0,0.0,1,4537492,4840135
0,166898490,868194000,7b71,0.0,0.0,1,4537492,4840145
1,550887868,868194000,79fd,0.3,1762.6,1,3633308,4756048
1,550887873,868194000,79fd,0.2,1762.6,1,3633328,4756068
1,550887892,868195000,79fd,0.3,1762.6,1,3633408,4756148
1,550887893,868195000,79fd,0.3,1762.6,1,3633413,4756153
1,550887895,868195000,79fd,0.3,1762.6,1,3633418,4756158
0,166898490,868195000,7b71,0.0,0.0,1,4537492,4840275
1,550887896,868195000,79fd,0.3,1762.6,1,3633423,4756163
0,166898490,868195000,7b71,0.0,0.0,1,4537492,4840280
1,550887899,868195000,79fd,0.3,1762.6,1,3633433,4756173
0,166898490,868195000,7b71,0.0,0.0,1,4537492,4840300
1,550887903,868195000,79fd,0.3,1762.6,1,3633448,4756188
1,550887904,868195000,79fd,0.2,1762.6,1,3633453,4756193
1,550887905,868195000,79fd,0.3,1762.6,1,3633458,4756198
0,166898490,868195000,7b71,0.0,0.0,1,4537492,4840315
1,550887907,868195000,79fd,0.2,1762.6,1,3633468,4756208
1,550887911,868195000,79fd,0.2,1762.6,1,3633483,4756223
1,550887912,868195000,79fd,0.2,1762.6,1,3633488,4756228
0,166898490,868195000,7b71,0.0,0.0,1,4537492,4840345
1,550887913,868195000,79fd,0.2,1762.6,1,3633493,4756233
1,550887916,868195000,79fd,0.3,1762.6,1,3633503,4756243
1,550887917,868195000,79fd,0.2,1762.6,1,3633508,4756248
1,550887919,868195000,79fd,0.2,1762.6,1,3633518,4756258
1,550887920,868195000,79fd,0.2,1762.6,1,3633523,4756263
1,550887922,868195000,79fd,0.2,1762.6,1,3633533,4756273
1,550887923,868195000,79fd,0.2,1762.6,1,3633538,4756278
1,550887925,868195000,79fd,0.2,1762.6,1,3633548,4756288
1,550887927,868195000,79fd,0.2,1762.6,1,3633558,4756298
1,193026,868195000,798a,1.3,1.4,1,162817,162817
1,550887929,868195000,79fd,0.2,1762.6,1,3633568,4756308
1,550887931,868195000,79fd,0.2,1762.6,1,3633578,4756318
1,550887933,868195000,79fd,0.3,1762.6,1,3633583,4756323
1,550887937,868195000,79fd,0.2,1762.6,1,3633603,4756343
1,550887940,868195000,79fd,0.3,1762.6,1,3633618,4756358
1,550887941,868195000,79fd,0.3,1762.6,1,3633623,4756363
1,550887942,868195000,79fd,0.2,1762.6,1,3633628,4756368
1,550887943,868195000,79fd,0.2,1762.6,1,3633633,4756373
1,550887944,868195000,79fd,0.2,1762.6,1,3633638,4756378
0,166898490,868195000,7b71,0.0,0.0,1,4537492,4840500
1,193177,868196000,798a,1.3,1.4,1,162937,162937
1,550887956,868196000,79fd,0.2,1762.6,1,3633688,4756428
1,193189,868196000,798a,1.3,1.4,1,162947,162947
1,550887960,868196000,79fd,0.2,1762.6,1,3633703,4756443
0,166898490,868196000,7b71,0.0,0.0,1,4537492,4840560
1,193208,868196000,798a,1.3,1.4,1,162962,162962
1,550887961,868196000,79fd,0.2,1762.6,1,3633708,4756448
1,193221,868196000,798a,1.3,1.4,1,162972,162972
0,166898490,868196000,7b71,0.0,0.0,1,4537492,4840575
1,193227,868196000,798a,1.3,1.4,1,162977,162977
1,550887965,868196000,79fd,0.2,1762.6,1,3633728,4756468
0,166898490,868196000,7b71,0.0,0.0,1,4537492,4840590
1,550887970,868196000,79fd,0.3,1762.6,1,3633748,4756488
1,193277,868196000,798a,1.3,1.4,1,163017,163017
1,550887974,868196000,79fd,0.3,1762.6,1,3633763,4756503
1,193290,868196000,798a,1.3,1.4,1,163027,163027
1,550888374,868196000,79fd,398.7,1762.6,1,3633773,4756513
1,193296,868196000,798a,1.2,1.4,1,163032,163032
1,193302,868196000,798a,1.3,1.4,1,163037,163037
0,166898490,868196000,7b71,0.0,0.0,1,4537492,4840640
1,193308,868196000,798a,1.2,1.4,1,163042,163042
1,550906136,868196000,79fd,881.1,1762.6,1,3633788,4756528
1,550910278,868196000,79fd,801.4,1762.6,1,3633793,4756533
1,550914153,868196000,79fd,762.4,1762.6,1,3633798,4756538
1,193327,868196000,798a,1.3,1.4,1,163057,163057
1,550921560,868196000,79fd,728.3,1762.6,1,3633808,4756548
1,193339,868196000,798a,1.3,1.4,1,163067,163067
1,550925179,868196000,79fd,722.1,1762.6,1,3633813,4756553
1,193345,868196000,798a,1.3,1.4,1,163072,163072
1,193358,868196000,798a,1.3,1.4,1,163082,163082
1,550935958,868196000,79fd,712.3,1762.6,1,3633828,4756568
1,193364,868196000,798a,1.3,1.4,1,163087,163087
1,550939523,868196000,79fd,713.4,1762.6,1,3633833,4756573
1,550943087,868196000,79fd,713.9,1762.6,1,3633838,4756578
1,550946652,868196000,79fd,712.6,1762.6,1,3633843,4756583
0,166898490,868196000,7b71,0.0,0.0,1,4537492,4840700
1,193383,868196000,798a,1.3,1.4,1,163102,163102
1,550957216,868196000,79fd,700.9,1762.6,1,3633858,4756598
1,193401,868196000,798a,1.3,1.4,1,163117,163117
1,193420,868196000,798a,1.2,1.4,1,163132,163132
1,550978012,868196000,79fd,692.8,1762.6,1,3633888,4756628
1,193438,868196000,798a,1.3,1.4,1,163147,163147
1,550981485,868196000,79fd,694.5,1762.6,1,3633893,4756633
1,550984968,868196000,79fd,697.6,1762.6,1,3633898,4756638
1,550988459,868196000,79fd,697.2,1762.6,1,3633903,4756643
1,193456,868196000,798a,1.3,1.4,1,163162,163162
1,550991949,868196000,79fd,698.3,1762.6,1,3633908,4756648
0,166898490,868196000,7b71,0.0,0.0,1,4537492,4840765
0,166898490,868196000,7b71,0.0,0.0,1,4537492,4840770
1,550998936,868196000,79fd,697.1,1762.6,1,3633918,4756658
1,193475,868196000,798a,1.3,1.4,1,163177,163177
1,193481,868196000,798a,1.3,1.4,1,163182,163182
1,193488,868196000,798a,1.3,1.4,1,163187,163187
1,551009397,868196000,79fd,693.2,1762.6,1,3633933,4756673
1,551012857,868196000,79fd,692.3,1762.6,1,3633938,4756678
1,193500,868196000,798a,1.2,1.4,1,163197,163197
1,551016333,868196000,79fd,695.7,1762.6,1,3633943,4756683
1,193506,868196000,798a,1.3,1.4,1,163202,163202
1,193513,868196000,798a,1.3,1.4,1,163207,163207
1,551023288,868196000,79fd,693.7,1762.6,1,3633953,4756693
1,551030230,868196000,79fd,693.3,1762.6,1,3633963,4756703
1,551040584,868197000,79fd,687.4,1762.6,1,3633978,4756718
1,551044016,868197000,79fd,684.6,1762.6,1,3633983,4756723
1,551057718,868197000,79fd,685.8,1762.6,1,3634003,4756743
1,193581,868197000,798a,1.3,1.4,1,163262,163262
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4840865
1,193600,868197000,798a,1.3,1.4,1,163277,163277
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4840880
1,551078547,868197000,79fd,697.2,1762.6,1,3634033,4756773
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4840890
1,551080731,868197000,79fd,51.6,1762.6,1,3634038,4756778
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4840900
1,193631,868197000,798a,1.3,1.4,1,163302,163302
1,551080734,868197000,79fd,0.2,1762.6,1,3634048,4756788
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4840905
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4840910
1,193644,868197000,798a,1.3,1.4,1,163312,163312
1,193650,868197000,798a,1.2,1.4,1,163317,163317
1,193663,868197000,798a,1.3,1.4,1,163327,163327
1,551080739,868197000,79fd,0.2,1762.6,1,3634073,4756813
1,551080740,868197000,79fd,0.2,1762.6,1,3634078,4756818
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4840935
1,551080742,868197000,79fd,0.3,1762.6,1,3634088,4756828
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4840950
1,551080744,868197000,79fd,0.2,1762.6,1,3634098,4756838
1,551080747,868197000,79fd,0.2,1762.6,1,3634113,4756853
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4840970
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4840985
1,193738,868197000,798a,1.3,1.4,1,163387,163387
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4840990
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4840995
1,551080753,868197000,79fd,0.2,1762.6,1,3634143,4756883
1,551080755,868197000,79fd,0.3,1762.6,1,3634148,4756888
1,193763,868197000,798a,1.3,1.4,1,163407,163407
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4841010
1,551080757,868197000,79fd,0.2,1762.6,1,3634158,4756898
1,193776,868197000,798a,1.3,1.4,1,163417,163417
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4841020
1,193795,868197000,798a,1.3,1.4,1,163432,163432
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4841045
1,551080766,868197000,79fd,0.2,1762.6,1,3634193,4756933
1,551080767,868197000,79fd,0.2,1762.6,1,3634198,4756938
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4841055
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4841070
1,551080773,868197000,79fd,0.2,1762.6,1,3634228,4756968
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4841085
1,193870,868197000,798a,1.3,1.4,1,163492,163492
1,551080775,868197000,79fd,0.2,1762.6,1,3634238,4756978
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4841100
1,551080779,868197000,79fd,0.2,1762.6,1,3634253,4756993
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4841110
1,193895,868197000,798a,1.3,1.4,1,163512,163512
0,166898490,868197000,7b71,0.0,0.0,1,4537492,4841120
0,166898490,868198000,7b71,0.0,0.0,1,4537492,4841140
1,551080789,868198000,79fd,0.2,1762.6,1,3634293,4757033
0,166898490,868198000,7b71,0.0,0.0,1,4537492,4841150
1,193951,868198000,798a,1.3,1.4,1,163557,163557
1,551080791,868198000,79fd,0.3,1762.6,1,3634303,4757043
0,166898490,868198000,7b71,0.0,0.0,1,4537492,4841160
1,551080793,868198000,79fd,0.2,1762.6,1,3634308,4757048
1,4718369,868198000,7d1b,1.8,2.0,1,293780,1383727
1,551080794,868198000,79fd,0.3,1762.6,1,3634313,4757053
1,551080795,868198000,79fd,0.2,1762.6,1,3634318,4757058
1,193977,868198000,798a,1.3,1.4,1,163577,163577
1,551080796,868198000,79fd,0.3,1762.6,1,3634323,4757063
0,166898490,868198000,7b71,0.0,0.0,1,4537492,4841180
1,551080798,868198000,79fd,0.2,1762.6,1,3634328,4757068
1,551080799,868198000,79fd,0.3,1762.6,1,3634333,4757073
1,193996,868198000,798a,1.3,1.4,1,163592,163592
0,166898490,868198000,7b71,0.0,0.0,1,4537492,4841195
1,551080801,868198000,79fd,0.2,1762.6,1,3634343,4757083
1,551080802,868198000,79fd,0.2,1762.6,1,3634348,4757088
0,166898490,868198000,7b71,0.0,0.0,1,4537492,4841205
1,551080803,868198000,79fd,0.3,1762.6,1,3634353,4757093
0,166898490,868198000,7b71,0.0,0.0,1,4537492,4841210
1,551080804,868198000,79fd,0.2,1762.6,1,3634358,4757098
0,166898490,868198000,7b71,0.0,0.0,1,4537492,4841215
1,551080805,868198000,79fd,0.2,1762.6,1,3634363,4757103
1,551080806,868198000,79fd,0.3,1762.6,1,3634368,4757108
1,551080808,868198000,79fd,0.3,1762.6,1,3634373,4757113
1,551080809,868198000,79fd,0.2,1762.6,1,3634378,4757118
0,166898490,868198000,7b71,0.0,0.0,1,4537492,4841235
1,194052,868198000,798a,1.3,1.4,1,163637,163637
1,551080810,868198000,79fd,0.2,1762.6,1,3634383,4757123
1,551080811,868198000,79fd,0.2,1762.6,1,3634388,4757128
1,551080812,868198000,79fd,0.2,1762.6,1,3634393,4757133
1,551080813,868198000,79fd,0.2,1762.6,1,3634398,4757138
0,166898490,868198000,7b71,0.0,0.0,1,4537492,4841255
1,194077,868198000,798a,1.3,1.4,1,163657,163657
1,551080814,868198000,79fd,0.2,1762.6,1,3634403,4757143
1,194083,868198000,798a,1.3,1.4,1,163662,163662
1,551080815,868198000,79fd,0.3,1762.6,1,3634408,4757148
1,551080816,868198000,79fd,0.2,1762.6,1,3634413,4757153
1,551080818,868198000,79fd,0.3,1762.6,1,3634418,4757158
0,166898490,868198000,7b71,0.0,0.0,1,4537492,4841275
1,194102,868198000,798a,1.3,1.4,1,163677,163677
1,551080819,868198000,79fd,0.2,1762.6,1,3634423,4757163
1,194115,868198000,798a,1.3,1.4,1,163687,163687
1,551080821,868198000,79fd,0.2,1762.6,1,3634433,4757173
1,551080822,868198000,79fd,0.2,1762.6,1,3634438,4757178
1,194128,868198000,798a,1.3,1.4,1,163697,163697
0,166898490,868198000,7b71,0.0,0.0,1,4537492,4841300
1,551080824,868198000,79fd,0.3,1762.6,1,3634448,4757188
1,551080825,868198000,79fd,0.2,1762.6,1,3634453,4757193
1,194146,868198000,798a,1.3,1.4,1,163712,163712
